Tỉnh/TP,Tổng số ca,24 giờ qua,Tử vong
TP. Hồ Chí Minh,518.736,+620,19.923
Bình Dương,293.388,+76,3.448
Hà Nội,180.365,+3.888,761
Đồng Nai,100.266,+87,1.763
Tây Ninh,89.728,+31,884
Khánh Hòa,64.548,+412,301
Cà Mau,58.028,+128,293
Vĩnh Long,54.300,+69,774
Bắc Ninh,50.321,+1.209,100
Bình Phước,49.547,+264,182
Đồng Tháp,47.744,+24,967
Đà Nẵng,46.506,+743,188
Hải Phòng,45.699,+1.487,92
Cần Thơ,44.539,+15,903
Bến Tre,42.642,+65,397
Long An,41.949,+18,1.081
Bình Định,40.207,+805,180
Trà Vinh,38.518,+13,51
Bạc Liêu,36.026,+78,376
An Giang,35.863,+27,1.257
Tiền Giang,35.437,+4,1.287
Kiên Giang,33.715,+11,855
Bà Rịa – Vũng Tàu,33.439,+298,458
Sóc Trăng,32.146,+19,584
Thanh Hóa,31.344,+781,40
Nghệ An,30.617,+1.188,58
Bình Thuận,30.213,+119,414
Hải Dương,29.335,+1.598,31
Nam Định,26.160,+1.281,33
Thừa Thiên Huế,24.650,+258,166
Quảng Nam,23.778,+606,59
Hưng Yên,23.698,+648,2
Bắc Giang,23.100,+711,21
Vĩnh Phúc,22.108,+1.274,14
Lâm Đồng,20.566,+362,78
Quảng Ninh,20.081,+1.536,13
Phú Thọ,19.872,+1.332,15
Thái Nguyên,19.702,+2.497,17
Đắk Lắk,19.079,+384,94
Hòa Bình,18.360,+974,39
Quảng Ngãi,16.800,+245,72
Hậu Giang,15.719,+12,205
Thái Bình,14.159,+836,6
Hà Giang,13.622,+118,35
Ninh Bình,13.294,+1.316,30
Gia Lai,12.939,+275,40
Phú Yên,12.734,+316,74
Quảng Bình,11.469,+574,15
Đắk Nông,10.844,+179,31
Lạng Sơn,9.334,+552,25
Hà Nam,8.766,+229,7
Sơn La,8.726,+770,0
Quảng Trị,8.661,+391,10
Lào Cai,8.335,+769,10
Ninh Thuận,6.940,+10,58
Tuyên Quang,6.763,+395,5
Hà Tĩnh,6.102,+417,6
Yên Bái,5.988,+595,6
Kon Tum,4.590,+171,0
Điện Biên,4.204,+166,1
Cao Bằng,3.539,+269,7
Lai Châu,2.116,+122,0
Bắc Kạn,2.021,+56,2
